iter	Passed	Remaining
1545	6365	1869
1546	6369	1865
1547	6373	1861
1548	6377	1856
1549	6381	1852
1550	6385	1848
1551	6389	1844
1552	6392	1840
1553	6396	1835
1554	6400	1831
1555	6404	1827
1556	6407	1823
1557	6412	1819
1558	6416	1815
1559	6421	1811
1560	6425	1807
1561	6429	1802
1562	6433	1798
1563	6437	1794
1564	6440	1790
1565	6445	1786
1566	6448	1782
1567	6453	1777
1568	6457	1773
1569	6463	1770
1570	6467	1765
1571	6471	1761
1572	6475	1757
1573	6479	1753
1574	6483	1749
1575	6487	1745
1576	6491	1741
1577	6495	1737
1578	6499	1732
1579	6503	1728
1580	6508	1724
1581	6513	1721
1582	6517	1716
1583	6521	1712
1584	6525	1708
1585	6530	1704
1586	6534	1700
1587	6538	1696
1588	6543	1692
1589	6550	1689
1590	6557	1685
1591	6560	1681
1592	6565	1677
1593	6569	1673
1594	6572	1669
1595	6576	1664
1596	6581	1660
1597	6585	1656
1598	6589	1652
1599	6592	1648
1600	6596	1643
1601	6600	1639
1602	6606	1636
1603	6610	1632
1604	6614	1627
1605	6618	1623
1606	6622	1619
1607	6627	1615
1608	6631	1611
1609	6635	1607
1610	6640	1603
1611	6644	1599
1612	6648	1595
1613	6652	1591
1614	6658	1587
1615	6661	1583
1616	6666	1578
1617	6670	1574
1618	6674	1570
1619	6678	1566
1620	6683	1562
1621	6687	1558
1622	6692	1554
1623	6696	1550
1624	6700	1546
1625	6705	1542
1626	6710	1538
1627	6715	1534
1628	6720	1530
1629	6726	1526
1630	6731	1523
1631	6736	1518
1632	6741	1515
1633	6745	1510
1634	6750	1506
1635	6754	1502
1636	6758	1498
1637	6762	1494
1638	6766	1490
1639	6770	1486
1640	6774	1482
1641	6778	1477
1642	6782	1473
1643	6786	1469
1644	6790	1465
1645	6794	1461
1646	6798	1457
1647	6803	1453
1648	6807	1448
1649	6811	1444
1650	6816	1440
1651	6820	1436
1652	6825	1432
1653	6830	1428
1654	6834	1424
1655	6838	1420
1656	6842	1416
1657	6847	1412
1658	6851	1408
1659	6855	1404
1660	6859	1399
1661	6863	1395
1662	6866	1391
1663	6870	1387
1664	6875	1383
1665	6880	1379
1666	6884	1375
1667	6888	1371
1668	6894	1367
1669	6898	1363
1670	6902	1359
1671	6907	1354
1672	6911	1350
1673	6915	1346
1674	6919	1342
1675	6923	1338
1676	6927	1334
1677	6931	1330
1678	6935	1326
1679	6940	1322
1680	6944	1317
1681	6949	1313
1682	6953	1309
1683	6959	1305
1684	6963	1301
